alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a144,polish_research_units_si,SI,0.1849525762624968,0.0020023605983702066,0.12529260951956306,0.48,Cl2,2
a145,polish_research_units_si,SI,0.11766213791335556,0.012821141307831832,0.017500836027198752,0.4,Cl1,1
a146,polish_research_units_si,SI,0.015508843886183031,0.021117173918781842,0.16531044476646975,0.6,Cl1,1
a147,polish_research_units_si,SI,0.7446167649320687,0.14957369705151458,0.07379333407646863,1.0,Cl3,3
a150,polish_research_units_si,SI,0.6573955396052295,0.1923510579327041,0.0280905138780515,0.85,Cl2,2
a151,polish_research_units_si,SI,0.8972058446552167,0.0,0.0,0.05,Cl1,1
a152,polish_research_units_si,SI,0.7238528582414766,0.06532748588731725,0.03868019172890425,0.7,Cl3,3
a154,polish_research_units_si,SI,0.7107792873622149,0.11013360383427544,0.04057518671274106,0.8,Cl3,3
a156,polish_research_units_si,SI,0.2056523968213279,0.09543831334115171,0.05729573068777171,0.78,Cl2,2
a158,polish_research_units_si,SI,0.02941553447833889,0.050564318763740304,0.38780514992754433,0.53,Cl2,2
a168,polish_research_units_si,SI,0.12541655985644706,0.0007541847828136372,0.0,0.28,Cl1,1
a173,polish_research_units_si,SI,0.20654960266598307,0.37030472836149586,0.2534834466614647,0.83,Cl3,3
a181,polish_research_units_si,SI,0.0474878236349654,0.02039315652728075,0.7038234310556237,0.59,Cl2,2
a183,polish_research_units_si,SI,0.04511663675980518,0.06329872882154858,0.39505071898339095,0.75,Cl2,2
a186,polish_research_units_si,SI,0.793514483465778,0.20781561690429773,0.014825548991193848,0.8,Cl3,3
a187,polish_research_units_si,SI,0.2387849269418098,0.1073657456813494,0.4240329952067774,1.0,Cl3,3
a190,polish_research_units_si,SI,0.5208279928223533,0.17334183048188637,0.050496042804592585,0.75,Cl3,3
a195,polish_research_units_si,SI,0.23795180722891568,0.10534075953949479,0.0731245123174674,0.8,Cl2,2
a199,polish_research_units_si,SI,0.3008203024865419,0.02890036087741858,0.08014714078698028,0.7,Cl2,2
a200,polish_research_units_si,SI,0.19712894129710332,0.11292031660677182,0.2058856314792108,0.8,Cl2,2
a203,polish_research_units_si,SI,0.8025506280440913,0.35861486422788447,0.07568832906030544,1.0,Cl4,4
a204,polish_research_units_si,SI,0.572994104075878,0.22704732886604548,0.13922639616542193,0.72,Cl3,3
a205,polish_research_units_si,SI,0.7618559343758011,0.20648825168654575,0.05763014156727232,0.75,Cl3,3
