alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a414,polish_research_units_hs,HS,0.3718583911359337,0.03286156773723156,0.0006414368184733803,0.1,Cl2,2
a428,polish_research_units_hs,HS,0.4128456895775155,0.050008532114361355,0.006628180457558263,0.28,Cl2,2
a437,polish_research_units_hs,HS,0.46464282497072334,0.16692435375697437,0.005879837502672653,0.35,Cl3,3
a441,polish_research_units_hs,HS,0.3978920817944329,0.06134331676896586,0.0033140902287791315,0.2,Cl2,2
a452,polish_research_units_hs,HS,0.4304116746239077,0.1402524471655282,0.032178747060081246,0.3,Cl2,2
a460,polish_research_units_hs,HS,0.39167642554724796,0.06360303433012561,0.00021381227282446012,0.1,Cl2,2
a473,polish_research_units_hs,HS,0.4319430681920548,0.20007549628465204,0.0072696172760316445,0.3,Cl3,3
a480,polish_research_units_hs,HS,0.4414016755247275,0.001034195680164644,0.0,0.15,Cl2,2
a481,polish_research_units_hs,HS,0.250608053328529,0.03380268580618139,0.0007483429548856105,0.2,Cl2,2
a499,polish_research_units_hs,HS,0.3306909287451581,0.06770362020197843,0.004062433183664742,0.25,Cl2,2
a513,polish_research_units_hs,HS,0.0,0.004214347396670925,0.5986743639084883,0.27,Cl1,1
a517,polish_research_units_hs,HS,0.23898747860553105,0.0,0.0,0.0,Cl1,1
a528,polish_research_units_hs,HS,0.26448067741644893,0.03808942690046384,0.00021381227282446012,0.0,Cl1,1
a530,polish_research_units_hs,HS,0.4199621655706693,0.04033363152642112,0.0,0.05,Cl2,2
a531,polish_research_units_hs,HS,1.0,0.1971590644665877,0.01967072909985033,0.85,Cl4,4
a532,polish_research_units_hs,HS,0.4526619223493379,0.2626288219994105,0.007376523412443874,0.72,Cl3,3
a533,polish_research_units_hs,HS,0.34762633996937214,0.06914115219740728,0.001496685909771221,0.21,Cl2,2
a534,polish_research_units_hs,HS,0.7799297360598144,0.24121580044160157,0.017639512508017957,0.96,Cl4,4
a535,polish_research_units_hs,HS,0.6408431672822268,0.020528784251268185,0.0054522129570237325,0.61,Cl3,3
a536,polish_research_units_hs,HS,0.6033690658499234,0.08289078376519622,0.0053453068206115026,0.63,Cl3,3
a537,polish_research_units_hs,HS,0.5449959463111431,0.07355199677330948,0.017104981825956808,0.68,Cl3,3
a542,polish_research_units_hs,HS,0.450229709035222,0.19682295087053422,0.002245028864656831,0.45,Cl2,2
a546,polish_research_units_hs,HS,0.3372669128907305,0.09332581817805748,0.0006414368184733803,0.35,Cl2,2
a551,polish_research_units_hs,HS,0.5404017656067021,0.2929721232554412,0.016035920461834507,0.95,Cl4,4
