alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a237,polish_research_units_nz,NZ,0.6946424281252502,0.2672314850717333,0.06497811961278346,0.5,Cl2,2
a242,polish_research_units_nz,NZ,0.827820933771122,0.18569600620395504,0.11961278345047076,0.87,Cl4,4
a252,polish_research_units_nz,NZ,0.6674941939617202,0.32868553702985653,0.2821906908898024,0.72,Cl3,3
a256,polish_research_units_nz,NZ,0.731160406823096,0.3439472663823187,0.0720063652035539,0.6,Cl3,3
a257,polish_research_units_nz,NZ,0.5589012573076,0.03215199689802249,0.02227821243866861,0.42,Cl2,2
a258,polish_research_units_nz,NZ,0.6106350604628814,0.26380379992245057,0.05543031428192547,0.71,Cl2,2
a259,polish_research_units_nz,NZ,0.7515816449107071,0.10939511438542071,0.05277814613446493,0.5,Cl3,3
a264,polish_research_units_nz,NZ,0.19139905501721788,0.06421481194261341,0.3080493303275428,0.75,Cl1,1
a268,polish_research_units_nz,NZ,0.7465363978537679,0.14734393175649477,0.07187375679618088,0.62,Cl3,3
a273,polish_research_units_nz,NZ,0.7832145431248498,0.2970918960837534,0.08778676568094418,0.84,Cl4,4
a274,polish_research_units_nz,NZ,0.894530311523985,0.10283055447848002,0.19108871502453256,0.3,Cl3,3
a278,polish_research_units_nz,NZ,0.47369264034595976,0.1853160139588988,0.08367590505238032,0.77,Cl3,3
a281,polish_research_units_nz,NZ,1.0,0.10005816207832494,0.04018034743402732,0.25,Cl3,3
a282,polish_research_units_nz,NZ,0.6418675422439337,0.03697944939899186,0.03938469698978916,0.2,Cl2,2
a290,polish_research_units_nz,NZ,0.7474173140065667,0.1922450562233424,0.03606948680546347,0.7,Cl3,3
a292,polish_research_units_nz,NZ,0.8271001841915592,0.2595851105079488,0.05423683861556823,1.0,Cl3,3
a295,polish_research_units_nz,NZ,0.4411788259790182,0.10936021713842575,0.24187773504840207,0.92,Cl2,2
a301,polish_research_units_nz,NZ,0.8463201729798991,0.08459480418766964,0.011669539848826417,0.35,Cl3,3
a303,polish_research_units_nz,NZ,0.6582045327140226,0.035180302442807294,0.01723909295849357,0.4,Cl2,2
a309,polish_research_units_nz,NZ,0.2996716585248659,0.3169367972082202,0.018299960217477786,0.46,Cl1,1
a311,polish_research_units_nz,NZ,0.26932009289661246,0.061198138813493605,0.038191221323431904,0.68,Cl1,1
a317,polish_research_units_nz,NZ,0.5112517017698407,0.3239433889104304,0.14083012863015515,0.88,Cl3,3
a318,polish_research_units_nz,NZ,0.4420597421318171,0.08272974020938349,0.09348892719798435,0.85,Cl2,2
a323,polish_research_units_nz,NZ,0.5887723232161447,0.22288096161302828,0.015382575255271183,0.73,Cl2,2
a324,polish_research_units_nz,NZ,0.36253703852006086,0.057844125630089185,0.10674976793528711,0.6,Cl2,2
a325,polish_research_units_nz,NZ,0.5282293585328741,0.040697944939899186,0.012332581885691554,0.46,Cl1,1
a339,polish_research_units_nz,NZ,0.2691599263233763,0.002714230321830167,0.0,0.42,Cl1,1
a347,polish_research_units_nz,NZ,0.858893248978938,0.335401318340442,0.20275825487335897,1.0,Cl4,4
a350,polish_research_units_nz,NZ,0.8804356530792024,0.11261341605273362,0.06219334305794988,0.4,Cl3,3
a356,polish_research_units_nz,NZ,0.5363978537679186,0.03914307871267934,0.020289086328073202,0.48,Cl2,2
a357,polish_research_units_nz,NZ,0.5626651717786498,0.09778208607987593,0.07704548468372895,0.73,Cl2,2
a358,polish_research_units_nz,NZ,0.7827340434051413,0.23343156262117098,0.16151704018034743,0.51,Cl3,3
a363,polish_research_units_nz,NZ,0.699207175462481,0.08039162466072121,0.5345444901206737,0.71,Cl3,3
a365,polish_research_units_nz,NZ,0.7426123168094819,0.0015509887553315238,0.0,0.46,Cl3,3
a367,polish_research_units_nz,NZ,0.4499079042203892,0.10416052733617681,0.026256464659859435,0.4,Cl2,2
a378,polish_research_units_nz,NZ,0.46448306238488024,0.0077549437766576195,0.022145604031295583,0.34,Cl1,1
a381,polish_research_units_nz,NZ,0.3566909585969408,0.33772780147343934,0.07810635194271316,0.89,Cl2,2
a383,polish_research_units_nz,NZ,0.6559622006887162,0.1746258239627763,0.0720063652035539,0.91,Cl4,4
a393,polish_research_units_nz,NZ,0.46912789300872904,0.022388522683210548,0.10369977456570748,0.52,Cl2,2
a444,polish_research_units_nz,NZ,0.326899975975014,0.0650058162078325,0.010873889404588251,0.42,Cl1,1
a514,polish_research_units_nz,NZ,0.6961640105709939,0.025102753005040713,1.0,0.66,Cl3,3
a519,polish_research_units_nz,NZ,0.5790021622487387,0.36203955021326095,0.01246519029306458,0.86,Cl3,3
